,Term,1,2,3,4,5,6,7,8,9,10,avg,Predicted,Actual
0,deep state,1,1,1,1,1,1,1,1,1,1,1,1,1
1,nancy pelosi,1,1,1,1,1,1,1,1,1,1,1,1,0
2,voting machines,0,0,0,0,0,0,0,0,0,0,0,0,0
3,world economic forum,1,1,1,1,1,1,1,1,1,1,1,1,1
4,bless tate,1,1,1,1,1,1,1,1,1,0,0.9,0,0
5,every member,0,0,0,0,0,0,0,0,0,0,0,0,0
6,god bless,1,1,1,1,1,1,1,1,1,1,1,1,0
7,poor souls,0,0,0,0,0,0,0,0,1,0,0.1,0,0
8,socialist party,1,1,1,1,1,1,1,1,1,1,1,1,0
9,tate arrested,0,0,0,0,0,0,0,0,0,0,0,0,0
10,frankfurt school,1,1,1,1,1,1,1,1,1,1,1,1,1
12,deal already,0,0,0,0,0,0,0,0,0,0,0,0,0
13,done deal,0,0,0,0,0,0,0,0,0,0,0,0,0
16,coup attempt,1,1,0,0,0,0,0,0,0,0,0.2,0,0
17,chinese without,0,1,1,1,1,1,1,1,1,1,0.9,0,0
21,without putting,1,1,1,1,1,1,1,1,1,1,1,1,0
22,big oil,1,1,1,1,1,1,1,1,1,1,1,1,0
23,cartels send,1,1,1,1,1,1,1,1,1,1,1,1,0
24,crossed swords,1,1,1,1,1,1,1,1,1,1,1,1,0
25,gaza terror,1,1,1,1,1,1,1,1,1,0,0.9,0,0
26,holy quran,0,0,0,0,0,0,0,0,0,0,0,0,0
27,israel sanction,1,1,1,1,1,1,1,1,1,1,1,1,0
28,terror groups,1,1,1,1,1,1,1,1,0,1,0.9,0,0
29,united states,1,1,1,1,1,1,1,1,1,1,1,1,0
30,small cog,0,0,0,0,0,0,0,0,0,0,0,0,0
31,also known,1,1,1,1,1,1,1,1,1,1,1,1,0
32,back better,0,0,1,1,0,1,1,1,1,1,0.7,0,0
33,order machine,0,0,0,0,0,0,0,0,0,0,0,0,0
34,black tribes,0,0,0,0,0,0,0,0,0,0,0,0,0
35,mike tyson,0,0,0,0,0,0,0,0,0,1,0.1,0,0
36,created israel,1,1,1,1,1,1,1,1,1,1,1,1,0
37,focused like,0,0,0,0,0,0,0,0,0,0,0,0,0
38,khazarian mafia,1,1,1,1,1,1,1,1,1,1,1,1,1
39,klaus schwab,1,1,1,1,1,1,1,1,1,1,1,1,1
40,mafia minions,1,1,1,1,1,1,1,1,1,1,1,1,1
41,owns runs,1,0,0,0,0,0,0,0,0,0,0.1,0,0
42,pay therefore,0,0,0,0,1,1,1,1,1,1,0.6,0,0
43,trillionaire jacob,1,1,1,1,1,1,1,1,1,1,1,1,0
44,space time,1,1,1,0,0,0,0,0,0,0,0.3,0,0
45,time portal,0,0,0,0,0,0,0,0,0,0,0,0,0
46,time information,1,1,0,0,0,0,0,0,0,1,0.3,0,0
47,blood type,1,1,1,1,1,1,1,1,1,1,1,1,1
48,time travel,0,0,0,0,0,0,0,0,0,0,0,0,0
49,advanced technology,1,1,1,1,1,1,0,0,0,0,0.6,0,0
50,caves space,0,0,0,0,0,0,0,0,0,0,0,0,0
51,children including,0,0,0,0,0,0,0,0,0,0,0,0,0
52,occupation government,0,0,0,0,0,0,0,0,0,0,0,0,0
53,travel agents,0,0,0,0,0,0,0,0,0,0,0,0,0
54,agent names,0,0,0,0,0,0,0,0,0,0,0,0,0
55,cave accesses,0,0,0,0,0,0,0,0,0,0,0,0,0
56,latin brown,0,0,0,0,0,0,0,0,0,0,0,0,0
57,media organizations,0,0,0,0,0,0,0,0,0,0,0,0,0